epoch,train_loss,val_loss,mIoU,OA,NonLandslide_IoU,Landslide_IoU,NonLandslide_F1,Landslide_F1,NonLandslide_Precision,Landslide_Precision,NonLandslide_Recall,Landslide_Recall,lr,best_mIoU,best_Landslide_IoU
1,1.405661,1.147107,0.551506,0.943601,0.942989,0.160023,0.970658,0.275896,0.993206,0.176829,0.949111,0.627377,3e-05,0.551506,0.160023
2,1.066614,1.05679,0.57893,0.959599,0.959191,0.198669,0.97917,0.331482,0.992568,0.231284,0.966129,0.584857,2.998012825394132e-05,0.57893,0.198669
3,0.956529,1.001283,0.582865,0.95827,0.957808,0.207921,0.978449,0.344263,0.993527,0.235511,0.963822,0.639625,2.992056748283996e-05,0.582865,0.207921
4,0.895991,0.908209,0.622683,0.978732,0.978566,0.266799,0.989167,0.421217,0.990425,0.394446,0.987912,0.451887,2.9821480938629495e-05,0.622683,0.266799
5,0.84786,0.884999,0.635601,0.979243,0.979064,0.292137,0.989421,0.452177,0.991259,0.412569,0.98759,0.500196,2.968314021064018e-05,0.635601,0.292137
6,0.799646,0.873782,0.641716,0.984711,0.984611,0.298822,0.992246,0.460143,0.98927,0.582037,0.995239,0.380464,2.9505924481191486e-05,0.641716,0.298822
7,0.769744,0.832035,0.643802,0.978042,0.977823,0.309781,0.988787,0.473027,0.992546,0.401557,0.985057,0.575445,2.9290319486279726e-05,0.643802,0.309781
8,0.741162,0.83343,0.650912,0.985719,0.985624,0.316201,0.99276,0.480475,0.989368,0.637236,0.996175,0.385613,2.9036916184209422e-05,0.650912,0.316201
9,0.712504,0.780212,0.666474,0.982304,0.982133,0.350814,0.990986,0.519411,0.992285,0.485536,0.989691,0.558368,2.874640913581771e-05,0.666474,0.350814
10,0.686782,0.766395,0.678709,0.985398,0.985271,0.372147,0.992581,0.54243,0.991402,0.585368,0.993763,0.50536,2.841959460073133e-05,0.678709,0.372147
11,0.666386,0.812635,0.650713,0.985376,0.985276,0.316151,0.992583,0.480417,0.989519,0.613505,0.995667,0.394778,2.805736835487436e-05,0.678709,0.372147
12,0.651379,0.739239,0.68307,0.984297,0.984143,0.381997,0.992008,0.552819,0.992444,0.539559,0.991573,0.566747,2.7660723235208646e-05,0.68307,0.381997
13,0.641807,0.72579,0.679603,0.983667,0.983505,0.375701,0.991684,0.546196,0.992563,0.521016,0.990806,0.573933,2.7230746418436735e-05,0.68307,0.381997
14,0.634258,0.76818,0.66603,0.986682,0.986588,0.345471,0.993249,0.513532,0.989799,0.68577,0.996723,0.410444,2.6768616441126075e-05,0.68307,0.381997
15,0.619736,0.707176,0.691099,0.985336,0.985193,0.397005,0.992541,0.568365,0.992401,0.573072,0.992682,0.563736,2.6275599969422212e-05,0.691099,0.397005
16,0.608566,0.786102,0.646322,0.9863,0.986216,0.306428,0.99306,0.469108,0.98883,0.697328,0.997327,0.353437,2.5753048327204935e-05,0.691099,0.397005
17,0.600567,0.711226,0.687951,0.986131,0.986007,0.389896,0.992954,0.561043,0.991616,0.612537,0.994296,0.517536,2.520239379220344e-05,0.691099,0.397005
18,0.595727,0.720564,0.681824,0.987122,0.987021,0.376627,0.993468,0.547173,0.990547,0.687771,0.996406,0.454302,2.4625145670222638e-05,0.691099,0.397005
19,0.591407,0.721484,0.689422,0.987961,0.987867,0.390977,0.993897,0.562161,0.990504,0.74525,0.997312,0.451291,2.4022886158240854e-05,0.691099,0.397005
20,0.589116,0.70091,0.698205,0.987523,0.987414,0.408997,0.993667,0.58055,0.9914,0.684182,0.995945,0.504182,2.3397266007717887e-05,0.698205,0.408997
21,0.582012,0.711041,0.688198,0.986702,0.986588,0.389808,0.993249,0.560952,0.991254,0.645418,0.995252,0.496036,2.2749999999999994e-05,0.698205,0.408997
22,0.578691,0.722422,0.681744,0.986969,0.986866,0.376622,0.993389,0.547169,0.990638,0.675747,0.996156,0.459699,2.2082862246223422e-05,0.698205,0.408997
23,0.575104,0.676655,0.7015,0.986554,0.986424,0.416576,0.993166,0.588145,0.992356,0.618561,0.993977,0.560579,2.13976813245991e-05,0.7015,0.416576
24,0.568837,0.67853,0.701302,0.987064,0.986944,0.41566,0.993429,0.587232,0.991961,0.647409,0.994901,0.53729,2.0696335268406854e-05,0.7015,0.416576
25,0.564758,0.711058,0.686048,0.987852,0.987759,0.384337,0.993842,0.555265,0.990359,0.744279,0.997349,0.44281,1.9980746418436735e-05,0.7015,0.416576
26,0.561777,0.70913,0.69053,0.987835,0.987738,0.393321,0.993831,0.56458,0.99066,0.729413,0.997023,0.460513,1.925287615398655e-05,0.7015,0.416576
27,0.563304,0.680682,0.699377,0.987708,0.987601,0.411153,0.993762,0.58272,0.99135,0.695964,0.996185,0.501171,1.8514719516857505e-05,0.7015,0.416576
28,0.558927,0.687887,0.696385,0.986654,0.986531,0.40624,0.99322,0.577768,0.991888,0.630502,0.994556,0.533173,1.7768299743083344e-05,0.7015,0.416576
29,0.562134,0.718013,0.684817,0.987968,0.987878,0.381756,0.993902,0.552566,0.990208,0.760862,0.997624,0.433806,1.701566271738097e-05,0.7015,0.416576
30,0.554178,0.695133,0.698228,0.988215,0.988119,0.408338,0.994024,0.579886,0.990908,0.744464,0.99716,0.4749,1.625887136552268e-05,0.7015,0.416576
31,0.551544,0.703271,0.692534,0.987389,0.987283,0.397785,0.993601,0.569165,0.991096,0.685887,0.996119,0.486392,1.55e-05,0.7015,0.416576
32,0.547974,0.687654,0.700796,0.987562,0.987452,0.41414,0.993686,0.585713,0.991557,0.681753,0.995824,0.51339,1.4741128634477315e-05,0.7015,0.416576
33,0.547043,0.722156,0.681208,0.987885,0.987796,0.374621,0.993861,0.545053,0.990037,0.763597,0.997714,0.423769,1.3984337282619027e-05,0.7015,0.416576
34,0.545459,0.712979,0.688386,0.987928,0.987835,0.388938,0.99388,0.560051,0.990459,0.745066,0.997325,0.448644,1.3231700256916652e-05,0.7015,0.416576
35,0.541594,0.681581,0.698072,0.986779,0.986657,0.409487,0.993284,0.581044,0.991925,0.6353,0.994645,0.535326,1.2485280483142488e-05,0.7015,0.416576
36,0.544539,0.696207,0.691947,0.987781,0.987682,0.396211,0.993803,0.567552,0.99079,0.720474,0.996835,0.46818,1.1747123846013451e-05,0.7015,0.416576
37,0.542962,0.714773,0.682719,0.987109,0.987007,0.378431,0.993461,0.549075,0.990615,0.68475,0.996324,0.458273,1.1019253581563263e-05,0.7015,0.416576
38,0.540156,0.707718,0.688993,0.987531,0.98743,0.390556,0.993675,0.561727,0.99076,0.705587,0.996608,0.466594,1.0303664731593145e-05,0.7015,0.416576
39,0.53708,0.698054,0.691259,0.98704,0.986929,0.39559,0.993421,0.566914,0.991245,0.662722,0.995608,0.495309,9.602318675400898e-06,0.7015,0.416576
40,0.536538,0.714566,0.682723,0.987463,0.987367,0.378079,0.993643,0.548704,0.990393,0.715375,0.996915,0.445021,8.91713775377657e-06,0.7015,0.416576
41,0.534244,0.730262,0.674637,0.987538,0.987449,0.361825,0.993685,0.531382,0.989844,0.74631,0.997556,0.412568,8.25e-06,0.7015,0.416576
42,0.531156,0.703724,0.690043,0.987808,0.987711,0.392374,0.993818,0.563605,0.990646,0.728163,0.99701,0.459713,7.602733992282109e-06,0.7015,0.416576
43,0.530132,0.68984,0.697867,0.987747,0.987643,0.408092,0.993783,0.579638,0.991216,0.702667,0.996363,0.493272,6.977113841759139e-06,0.7015,0.416576
44,0.530884,0.694834,0.691684,0.987181,0.987073,0.396295,0.993494,0.567638,0.991178,0.671992,0.995821,0.491338,6.374854329777358e-06,0.7015,0.416576
45,0.527286,0.717421,0.683613,0.987715,0.987622,0.379604,0.993772,0.550309,0.990292,0.737444,0.997277,0.438926,5.7976062077965595e-06,0.7015,0.416576
46,0.52711,0.697573,0.69305,0.987776,0.987677,0.398423,0.9938,0.569818,0.990867,0.71712,0.996751,0.472718,5.246951672795061e-06,0.7015,0.416576
47,0.526526,0.699317,0.692712,0.987698,0.987597,0.397827,0.99376,0.569208,0.990898,0.71097,0.996638,0.47458,4.724400030577786e-06,0.7015,0.416576
48,0.527593,0.69603,0.694366,0.987579,0.987475,0.401256,0.993698,0.572709,0.991092,0.69699,0.996318,0.486043,4.231383558873922e-06,0.7015,0.416576
49,0.526426,0.692738,0.69563,0.987628,0.987524,0.403736,0.993723,0.575231,0.991145,0.698098,0.996314,0.489141,3.769253581563263e-06,0.7015,0.416576
50,0.525408,0.692584,0.694844,0.987553,0.987447,0.40224,0.993684,0.57371,0.991143,0.693752,0.996238,0.489083,3.3392767647913527e-06,0.7015,0.416576
51,0.521975,0.692479,0.695313,0.98747,0.987363,0.403263,0.993641,0.57475,0.991233,0.686244,0.996061,0.494421,2.9426316451256386e-06,0.7015,0.416576
52,0.524299,0.697801,0.691786,0.987254,0.987147,0.396425,0.993532,0.567772,0.991136,0.677166,0.99594,0.488806,2.580405399268667e-06,0.7015,0.416576
53,0.520659,0.693479,0.694092,0.987458,0.987352,0.400833,0.993636,0.572278,0.991157,0.687908,0.996127,0.489927,2.2535908641822855e-06,0.7015,0.416576
54,0.522559,0.692698,0.694875,0.987417,0.987309,0.402442,0.993614,0.573916,0.99124,0.683065,0.995999,0.494843,1.963083815790574e-06,0.7015,0.416576
55,0.519969,0.701564,0.689906,0.987511,0.98741,0.392403,0.993665,0.563634,0.990834,0.701721,0.996512,0.470958,1.7096805137202735e-06,0.7015,0.416576
56,0.522096,0.705353,0.687769,0.987381,0.987279,0.388259,0.993599,0.559347,0.990777,0.69576,0.996437,0.467656,1.4940755188085092e-06,0.7015,0.416576
57,0.520993,0.699039,0.691506,0.98748,0.987377,0.395635,0.993648,0.56696,0.990963,0.695407,0.996348,0.478566,1.3168597893598172e-06,0.7015,0.416576
58,0.521768,0.699665,0.690907,0.987359,0.987254,0.394559,0.993586,0.565855,0.991004,0.687013,0.996182,0.481024,1.1785190613705039e-06,0.7015,0.416576
59,0.52136,0.702805,0.688702,0.987217,0.987112,0.390292,0.993514,0.561453,0.990948,0.680655,0.996094,0.47778,1.0794325171600355e-06,0.7015,0.416576
60,0.518107,0.712333,0.684579,0.987311,0.987211,0.381947,0.993564,0.552766,0.99061,0.697258,0.996536,0.457881,1.0198717460586794e-06,0.7015,0.416576
