epoch,train_loss,val_loss,lr,miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp,best_landslide_iou
1,1.228294,0.982212,2.998012825394132e-05,0.591486,0.981307,0.981218,0.201753,0.335765,0.428869,0.275875,3920079.0,25256.0,49780.0,18965.0,0.20175317283858682
2,0.942335,0.948422,2.992056748283996e-05,0.622986,0.972669,0.972384,0.273588,0.429633,0.334291,0.601062,3863050.0,82285.0,27425.0,41320.0,0.27358802886843675
3,0.928775,0.89006,2.9821480938629495e-05,0.650641,0.983259,0.983127,0.318154,0.482727,0.512629,0.45612,3915524.0,29811.0,37389.0,31356.0,0.3181541458663095
4,0.83359,0.903702,2.968314021064018e-05,0.623312,0.969311,0.968944,0.277679,0.434661,0.317496,0.688879,3843534.0,101801.0,21388.0,47357.0,0.3181541458663095
5,0.758635,0.801794,2.9505924481191486e-05,0.68114,0.983028,0.982851,0.379429,0.550125,0.503749,0.605906,3904302.0,41033.0,27092.0,41653.0,0.37942939386762375
6,0.750195,0.824832,2.9290319486279726e-05,0.664253,0.983764,0.983624,0.344883,0.512882,0.527457,0.499091,3914597.0,30738.0,34435.0,34310.0,0.37942939386762375
7,0.689993,0.788543,2.9036916184209422e-05,0.693829,0.986887,0.986771,0.400888,0.572334,0.648214,0.512357,3926220.0,19115.0,33523.0,35222.0,0.4008877760072843
8,0.67796,0.795778,2.874640913581771e-05,0.675803,0.98658,0.986475,0.36513,0.534938,0.657946,0.45068,3929228.0,16107.0,37763.0,30982.0,0.4008877760072843
9,0.642701,0.735773,2.841959460073133e-05,0.68641,0.986324,0.986205,0.386614,0.557637,0.625113,0.503309,3924585.0,20750.0,34145.0,34600.0,0.4008877760072843
10,0.625994,0.749444,2.805736835487436e-05,0.678426,0.987583,0.987492,0.36936,0.539464,0.739394,0.424642,3935046.0,10289.0,39553.0,29192.0,0.4008877760072843
11,0.61085,0.696905,2.7660723235208646e-05,0.716296,0.988015,0.987899,0.444692,0.615622,0.68291,0.560404,3927447.0,17888.0,30220.0,38525.0,0.4446919764985629
12,0.600157,0.762544,2.7230746418436735e-05,0.654471,0.986716,0.986631,0.32231,0.487496,0.718422,0.368914,3935395.0,9940.0,43384.0,25361.0,0.4446919764985629
13,0.586689,0.651008,2.6768616441126075e-05,0.726511,0.986741,0.986586,0.466435,0.636149,0.600111,0.676791,3914332.0,31003.0,22219.0,46526.0,0.4664354172514737
14,0.577347,0.651342,2.6275599969422212e-05,0.722963,0.988261,0.988143,0.457783,0.628054,0.686564,0.578733,3927172.0,18163.0,28960.0,39785.0,0.4664354172514737
15,0.570969,0.71894,2.5753048327204935e-05,0.679129,0.986483,0.986374,0.371883,0.54215,0.645566,0.467292,3927698.0,17637.0,36621.0,32124.0,0.4664354172514737
16,0.563871,0.69108,2.520239379220344e-05,0.69701,0.987697,0.987593,0.406428,0.577958,0.700561,0.491876,3930882.0,14453.0,34931.0,33814.0,0.4664354172514737
17,0.568542,0.639887,2.4625145670222638e-05,0.720688,0.985853,0.985684,0.455692,0.626083,0.571936,0.691556,3909753.0,35582.0,21204.0,47541.0,0.4664354172514737
18,0.557671,0.650113,2.4022886158240854e-05,0.721329,0.98838,0.988266,0.454392,0.624855,0.698782,0.565074,3928590.0,16745.0,29899.0,38846.0,0.4664354172514737
19,0.555504,0.763602,2.3397266007717887e-05,0.655593,0.986808,0.986724,0.324463,0.489954,0.725091,0.369976,3935692.0,9643.0,43311.0,25434.0,0.4664354172514737
20,0.551791,0.633571,2.2749999999999994e-05,0.731539,0.988701,0.988584,0.474493,0.643602,0.699829,0.595738,3927769.0,17566.0,27791.0,40954.0,0.47449340176802496
21,0.546404,0.649346,2.2082862246223422e-05,0.720705,0.988503,0.988392,0.453019,0.623555,0.709779,0.556011,3929706.0,15629.0,30522.0,38223.0,0.47449340176802496
22,0.544125,0.665672,2.13976813245991e-05,0.709666,0.987642,0.987525,0.431806,0.603163,0.670115,0.548374,3926777.0,18558.0,31047.0,37698.0,0.47449340176802496
23,0.543505,0.680335,2.0696335268406854e-05,0.703309,0.988172,0.98807,0.418549,0.590108,0.725811,0.497156,3932424.0,12911.0,34568.0,34177.0,0.47449340176802496
24,0.542071,0.643774,1.9980746418436735e-05,0.726443,0.989506,0.98941,0.463476,0.633391,0.788404,0.529318,3935569.0,9766.0,32357.0,36388.0,0.47449340176802496
25,0.543549,0.715359,1.925287615398655e-05,0.681237,0.987827,0.987737,0.374736,0.545175,0.756901,0.426009,3935929.0,9406.0,39459.0,29286.0,0.47449340176802496
26,0.53946,0.69797,1.8514719516857505e-05,0.691366,0.987209,0.987101,0.395631,0.566956,0.674656,0.488908,3929127.0,16208.0,35135.0,33610.0,0.47449340176802496
27,0.538698,0.698494,1.7768299743083344e-05,0.689061,0.987219,0.987113,0.39101,0.562195,0.680009,0.479177,3929834.0,15501.0,35804.0,32941.0,0.47449340176802496
28,0.535953,0.701627,1.701566271738097e-05,0.689039,0.987596,0.987497,0.39058,0.561751,0.711261,0.464179,3932381.0,12954.0,36835.0,31910.0,0.47449340176802496
29,0.533339,0.659815,1.625887136552268e-05,0.713584,0.988304,0.988196,0.438971,0.610118,0.710921,0.534352,3930398.0,14937.0,32011.0,36734.0,0.47449340176802496
30,0.532388,0.702327,1.55e-05,0.689408,0.987636,0.987536,0.39128,0.562475,0.713825,0.464077,3932545.0,12790.0,36842.0,31903.0,0.47449340176802496
31,0.529143,0.681725,1.4741128634477315e-05,0.700949,0.987649,0.98754,0.414357,0.58593,0.687973,0.510248,3929426.0,15909.0,33668.0,35077.0,0.47449340176802496
32,0.529288,0.706759,1.3984337282619027e-05,0.687619,0.987104,0.986998,0.388241,0.559328,0.674268,0.477867,3929465.0,15870.0,35894.0,32851.0,0.47449340176802496
33,0.528943,0.736525,1.3231700256916652e-05,0.668511,0.98627,0.986167,0.350855,0.519456,0.64832,0.433326,3929176.0,16159.0,38956.0,29789.0,0.47449340176802496
34,0.524537,0.687945,1.2485280483142488e-05,0.697461,0.987433,0.987323,0.407598,0.57914,0.678984,0.504895,3928925.0,16410.0,34036.0,34709.0,0.47449340176802496
35,0.524538,0.756838,1.1747123846013451e-05,0.66159,0.986724,0.986634,0.336545,0.503605,0.700101,0.393236,3933755.0,11580.0,41712.0,27033.0,0.47449340176802496
36,0.522992,0.696734,1.1019253581563263e-05,0.694183,0.987416,0.987309,0.401058,0.572507,0.684475,0.492021,3929743.0,15592.0,34921.0,33824.0,0.47449340176802496
37,0.521878,0.738198,1.0303664731593145e-05,0.66896,0.986647,0.986549,0.351372,0.520022,0.676364,0.422387,3931441.0,13894.0,39708.0,29037.0,0.47449340176802496
38,0.523767,0.704415,9.602318675400898e-06,0.687242,0.986924,0.986815,0.387669,0.558734,0.661893,0.483395,3928360.0,16975.0,35514.0,33231.0,0.47449340176802496
39,0.520474,0.736376,8.91713775377657e-06,0.670386,0.986542,0.986442,0.35433,0.523255,0.665208,0.431231,3930415.0,14920.0,39100.0,29645.0,0.47449340176802496
40,0.524868,0.718155,8.25e-06,0.680881,0.987138,0.987038,0.374724,0.545163,0.691172,0.450084,3931510.0,13825.0,37804.0,30941.0,0.47449340176802496
41,0.522731,0.722676,7.602733992282109e-06,0.678026,0.987267,0.987171,0.368882,0.538953,0.709317,0.434577,3933092.0,12243.0,38870.0,29875.0,0.47449340176802496
42,0.520788,0.713826,6.977113841759139e-06,0.68447,0.987417,0.987319,0.381621,0.552425,0.706755,0.453415,3932402.0,12933.0,37575.0,31170.0,0.47449340176802496
43,0.51846,0.718686,6.374854329777358e-06,0.680752,0.987238,0.98714,0.374365,0.544782,0.700032,0.445894,3932200.0,13135.0,38092.0,30653.0,0.47449340176802496
44,0.516291,0.737192,5.7976062077965595e-06,0.670101,0.986789,0.986693,0.353509,0.522359,0.685824,0.42182,3932051.0,13284.0,39747.0,28998.0,0.47449340176802496
45,0.518135,0.716349,5.246951672795061e-06,0.683546,0.987421,0.987323,0.379769,0.550482,0.709398,0.449735,3932670.0,12665.0,37828.0,30917.0,0.47449340176802496
46,0.518243,0.70876,4.724400030577786e-06,0.686244,0.987066,0.98696,0.385528,0.556507,0.674117,0.473838,3929588.0,15747.0,36171.0,32574.0,0.47449340176802496
47,0.516935,0.691958,4.231383558873922e-06,0.695931,0.987633,0.987529,0.404334,0.575838,0.697813,0.490159,3930743.0,14592.0,35049.0,33696.0,0.47449340176802496
48,0.516861,0.712566,3.769253581563263e-06,0.686281,0.987459,0.987359,0.385203,0.556169,0.705938,0.458826,3932196.0,13139.0,37203.0,31542.0,0.47449340176802496
49,0.514022,0.70956,3.3392767647913527e-06,0.68676,0.987246,0.987143,0.386376,0.55739,0.687035,0.468907,3930651.0,14684.0,36510.0,32235.0,0.47449340176802496
50,0.513411,0.734238,2.9426316451256386e-06,0.673482,0.987037,0.986941,0.360022,0.529435,0.699692,0.42582,3932771.0,12564.0,39472.0,29273.0,0.47449340176802496
51,0.515482,0.685196,2.580405399268667e-06,0.70066,0.987754,0.987647,0.413672,0.585244,0.696783,0.504488,3930243.0,15092.0,34064.0,34681.0,0.47449340176802496
52,0.514394,0.697735,2.2535908641822855e-06,0.693312,0.987312,0.987204,0.39942,0.570836,0.67839,0.492719,3929277.0,16058.0,34873.0,33872.0,0.47449340176802496
53,0.515813,0.697797,1.963083815790574e-06,0.694073,0.987564,0.987459,0.400687,0.572129,0.696378,0.485504,3930783.0,14552.0,35369.0,33376.0,0.47449340176802496
54,0.514612,0.716056,1.7096805137202735e-06,0.684068,0.987458,0.98736,0.380776,0.551539,0.71139,0.450345,3932775.0,12560.0,37786.0,30959.0,0.47449340176802496
55,0.514204,0.720317,1.4940755188085092e-06,0.682191,0.987379,0.987282,0.377101,0.547674,0.709035,0.446142,3932749.0,12586.0,38075.0,30670.0,0.47449340176802496
56,0.513152,0.704926,1.3168597893598172e-06,0.690546,0.987446,0.987342,0.393749,0.565021,0.694772,0.476107,3930956.0,14379.0,36015.0,32730.0,0.47449340176802496
57,0.514942,0.703168,1.1785190613705039e-06,0.691451,0.98737,0.987265,0.395637,0.566962,0.686724,0.48277,3930195.0,15140.0,35557.0,33188.0,0.47449340176802496
58,0.513173,0.706113,1.0794325171600355e-06,0.690153,0.987472,0.98737,0.392936,0.564183,0.697854,0.473489,3931242.0,14093.0,36195.0,32550.0,0.47449340176802496
59,0.512248,0.699827,1.0198717460586794e-06,0.693256,0.987566,0.987462,0.399049,0.570457,0.698438,0.482115,3931025.0,14310.0,35602.0,33143.0,0.47449340176802496
60,0.511664,0.726538,1e-06,0.6772,0.987156,0.987059,0.36734,0.537306,0.701324,0.435464,3932586.0,12749.0,38809.0,29936.0,0.47449340176802496
